0,1,2,3
Daytona Beach Police Department,FL,101-500,"“Our department has never purchased Clearview AI. It’s never been used by us in any official capacity. We do have some members who are part of a task force with another agency that does utilize Clearview AI, but I can’t speak for that other agency and how they utilize it.” —Messod Bendayan, spokesperson"
Delray Beach Police Department,FL,101-500,This organization did not respond to a request for comment.
DeSoto County Sheriff’s Office,FL,501-1000,This organization did not respond to a request for comment.
Doral Police Department,FL,101-500,This organization did not respond to a request for comment.
Escambia County Sheriff’s Office,FL,501-1000,This organization did not respond to a request for comment.
Flagler County Sheriff’s Office,FL,6-10,This organization did not respond to a request for comment.
Florida Atlantic University Police Department,FL,11-50,"“We’ve checked into this and in fact, we have never used Clearview AI as a vendor.” —Joshua Glanzer, assistant vice president media relations"
Florida Department of Financial Services,FL,11-50,This organization did not respond to a request for comment.
Florida Department of Law Enforcement,FL,1001-5000,This organization did not respond to a request for comment.
Florida Fish and Wildlife Conservation Commission,FL,11-50,This organization did not respond to a request for comment.
Florida International University Police Department,FL,101-500,This organization did not respond to a request for comment.
"Florida State Attorney’s Office: 20th Judicial Circuit, Criminal Investigation Division",FL,11-50,This organization did not respond to a request for comment.
Fort Lauderdale Police Department,FL,1001-5000,"“The Fort Lauderdale Police Department utilizes Clearview Al to assist us in conducting various types of criminal investigations. Programs, such as Clearview Al, aide in the investigative process and are not solely credited to solving a criminal investigation. Rather, they serve as a tool to help investigators establish and generate leads to identify and locate a suspect(s) and develop probable cause for an arrest(s).” —Ali Adamson, public information officer"
Fort Myers Police Department,FL,11-50,This organization did not respond to a request for comment.
Fort Pierce Police Department,FL,11-50,"“Our agency does not utilize Clearview AI.” —Mike Jachles, public affairs manager"
Gainesville Police Department,FL,1001-5000,"“GPD has no comment on this.” —Graham Glover, public information officer"
Groveland Police Department,FL,11-50,This organization did not respond to a request for comment.
Haines City Police Department,FL,1-5,This organization did not respond to a request for comment.
Hallandale Beach Police Department,FL,101-500,This organization did not respond to a request for comment.
Hernando County Sheriff’s Office,FL,51-100,This organization did not respond to a request for comment.
Hialeah Police Department,FL,101-500,This organization did not respond to a request for comment.
Highlands County Sheriff’s Office,FL,11-50,This organization did not respond to a request for comment.
Hillsborough County Sheriff’s Office,FL,1001-5000,"“Our only interaction with Clearview AI was an email request from the company for the sheriff’s office to test a free trial version of their product. Some employees did create accounts to test the product, but it was for a short time, and never used agency wide. We are not currently and have no plans to use Clearview AI in the near future.” —Natalia Verdina, public relations coordinator"
Hollywood Police Department,FL,101-500,This organization did not respond to a request for comment.
Homestead Police Department,FL,11-50,This organization did not respond to a request for comment.
Indian River County Sheriff’s Office,FL,101-500,This organization did not respond to a request for comment.
Jacksonville Sheriff’s Office,FL,11-50,"“Following an extensive search into the below information, I have been unable to locate or verify anyone within or associated with JSO has utilized the software listed. This is not a tool we currently use or plan on using at this time.” —Christian Hancock, spokesperson"
